published_at,title,description,url,inserted_at
2015-02-20T23:00:00+00:00,petromaroc issues shares pursuant to the debenture amending agreement 2015 02 20,"Tax Fncact, Tax Fncact Principal, Env Oil, Env Mining, Econ Oilprice, General Government, Econ Currency Exchange Rate, Econ Interest Rates, Delay, Tax Fncact Authorities, Econ Stockmarket, Tax Worldla...",http://www.marketwatch.com/story/petromaroc-issues-shares-pursuant-to-the-debenture-amending-agreement-2015-02-20-171733110,2026-01-26T03:39:46.343633+00:00
2015-02-20T23:00:00+00:00,art cashin greek deal is financial ebola 2015 2,"Tax Ethnicity, Tax Ethnicity Greek, Tax Worldlanguages, Tax Worldlanguages Greek, Econ Debt, Tax Disease, Tax Disease Ebola, Tax Fncact, Tax Fncact King, Econ Bankruptcy, Tax Ethnicity Greeks, Tax Wor...",http://www.businessinsider.com/art-cashin-greek-deal-is-financial-ebola-2015-2,2026-01-26T03:39:46.357676+00:00
2015-02-20T23:00:00+00:00,u s stocks rise to records in week on greek deal fed rate bets,"Econ Stockmarket, Manmade Disaster Implied, Econ Bankruptcy, Tax Worldfish, Tax Worldfish Top, Leader, Tax Fncact, Tax Fncact President, Tax Fncact Chief, Tax Military Title, Tax Military Title Office...",http://www.bloomberg.com/news/articles/2015-02-20/u-s-stocks-rise-to-records-in-week-on-greek-deal-fed-rate-bets,2026-01-26T03:39:46.380706+00:00
2015-02-20T23:00:00+00:00,newmont mining nem earnings report q4 2014 conference call transcript,"Tax Fncact, Tax Fncact Operator, Leader, Tax Fncact President, Tax Fncact Vice President, Tax Fncact Investor, Tax Fncact Chief, Tax Fncact Executive, Tax Fncact Chief Executive, Tax Military Title, T...",http://www.thestreet.com/story/13053496/1/newmont-mining-nem-earnings-report-q4-2014-conference-call-transcript.html,2026-01-26T03:39:46.399406+00:00
2015-02-20T23:00:00+00:00,2936856 community health systems cyh ceo wayne smith on q4 2014 results earnings call transcript,"General Health, Medical, Econ Stockmarket, Tax Fncact, Tax Fncact Executives, Tax Fncact Chairman, Tax Fncact Ceo, Leader, Tax Fncact President, Tax Fncact Cfo, Tax Fncact Analysts, Tax Foodstaples, T...",http://seekingalpha.com/article/2936856-community-health-systems-cyh-ceo-wayne-smith-on-q4-2014-results-earnings-call-transcript,2026-01-26T03:39:46.466746+00:00
2015-02-20T23:00:00+00:00,stock valuations hit their highest level in more than a decade 2015 02 20,"Manmade Disaster Implied, Econ Stockmarket, Econ Interest Rates, Econ Inflation, Env Oil, ",http://www.marketwatch.com/story/stock-valuations-hit-their-highest-level-in-more-than-a-decade-2015-02-20,2026-01-26T03:39:46.487364+00:00
2015-02-20T23:00:00+00:00,goldman sachs group inc;maeva group;reuters;motors co,"Tax Fncact, Tax Fncact Workers, Leader, Tax Fncact President, Tax Fncact Investor, Econ Stockmarket, General Health, Medical, General Government, Tax Fncact Employees, Tax Fncact Chief, Tax Fncact Exe...",http://uk.reuters.com/article/2015/02/20/uk-autos-gm-uaw-exclusive-idUKKBN0LO2B720150220,2026-01-26T03:39:46.494375+00:00
2015-02-20T23:00:00+00:00,kim forrest;david tepper,"Econ Stockmarket, Manmade Disaster Implied, Econ Interest Rates, Econ Inflation, Env Oil, ",http://stream.marketwatch.com/story/markets/SS-4-4/SS-4-78313/,2026-01-26T03:39:46.537089+00:00
2015-02-20T23:00:00+00:00,"1731|113||Petrobra problem is financial. If it is in financial trouble , how can the government go ahead with the auction?","Env Oil, Tax Fncact, Tax Fncact Regulator, Corruption, Scandal, Econ Oilprice, Tax Fncact Executives, Arrest, Soc Generalcrime, Trial, Tax Fncact Lawyer, Legislation, General Government, ",http://uk.reuters.com/article/2015/02/20/brazil-oil-auction-idUKL1N0VU2NF20150220,2026-01-26T03:39:46.567158+00:00
2015-02-20T23:00:00+00:00,high frequency trader virtu extends nearly unblemished streak,"Tax Fncact, Tax Fncact Trader, Econ Stockmarket, Econ Ipo, Tax Fncact Traders, Legislation, Tax Fncact Chief, Tax Fncact Executive, Tax Fncact Chief Executive, Tax Military Title, Tax Military Title O...",http://www.bloomberg.com/news/articles/2015-02-20/high-frequency-trader-virtu-extends-nearly-unblemished-streak,2026-01-26T03:39:46.630183+00:00
